"Station ID","Alias","Area","Class","Status","XCOORD","YCOORD"
"2AS.25","2AS.25","WCA2","Interior","Inactive",821979.102,750405.021
"1-8T","1-8T","Refuge","Interior","Inactive",908984.248,787908.662
"217WQ","217","WCA2","Interior","Inactive",849100.523,710452.296
"2AC.25","C0.25","WCA2","Interior","Active",827864.403,760989.72
"2AC2","404C2","WCA2","Interior","Active",829174.34,755830.017
"2AC4","WCA2C4","WCA2","Interior","Active",830393.343,749711.263
"2AC5","WCA2C5","WCA2","Interior","Active",830674.909,746328.449
"2AFS.25","FS0.25","WCA2","Interior","Active",811180.194,731611.001
"2AN.25","2AN.25","WCA2","Interior","Active",834015.117,771203.431
"2AN1","2AN1","WCA2","Interior","Active",834143.417,768818.553
"2AN2","2AN2","WCA2","Interior","Active",834834.691,765588.009
"2AN4","2AN4","WCA2","Interior","Active",835669.936,759804.175
"2AN6","2AN6","WCA2","Interior","Active",837630.669,753299.179
"2AS.25","S0.25","WCA2","Interior","Inactive",821979.102,750405.021
"2AS1","2AS1","WCA2","Interior","Inactive",822311.578,747852.379
"2AS4","2AS4","WCA2","Interior","Inactive",824982.674,738962.579
"3AS3-SW1","3AS3-SW1","WCA3","Interior","Inactive",731346.462,553896.712
"3AS3-SW2","3AS3-SW2","WCA3","Interior","Inactive",732507.99,553815.054
"3AS3-SW3","3AS3-SW3","WCA3","Interior","Inactive",732097.556,552418.476
"3AS3-SW4","3AS3-SW4","WCA3","Interior","Inactive",731945.623,553626.685
"3ASMESO","3ASMESO","WCA3","Interior","Active",727641.571,590115.272
"3B-2","3B2","WCA3","Interior","Inactive",830084.321,596787.647
"3B-3","3B3","WCA3","Interior","Inactive",824252.715,594442.393
"3B-5","3B5","WCA3","Interior","Inactive",819760.329,527388.951
"3B-6","3B6","WCA3","Interior","Inactive",765572.063,520959.311
"3B-7","3B7","WCA3","Interior","Inactive",810456.379,547546.205
"3BS1-SW1","3BS1-SW1","WCA3","Interior","Inactive",816927.695,526166.929
"3BS1-SW2","3BS1-SW2","WCA3","Interior","Inactive",818360.424,526242.231
"3BS1-SW3","3BS1-SW3","WCA3","Interior","Inactive",817537.296,529972.481
"3BS1-SW4","3BS1-SW4","WCA3","Interior","Inactive",817462.152,525677.842
"404Z1","404Z1","WCA2","Interior","Active",810333.031,728432.365
"A","A","WCA2","Interior","Inactive",862430.625,739391.525
"A-1","A-1","Refuge","Interior","Inactive",881159.204,741102.561
"A-2","A2","Refuge","Interior","Inactive",881215.741,747564.86
"A-3","A3","Refuge","Interior","Inactive",884269.761,788171.122
"A-5","A5","Refuge","Interior","Inactive",909984.259,787813.718
"A-6","A6","Refuge","Interior","Inactive",862529.166,848741.743
"404Y.5","404Y.5","WCA2","Interior","Inactive",831037.5017,764888.5253
"404Y1","404Y1","WCA2","Interior","Inactive",831469.4119,763327.2991
"404Y2","404Y2","WCA2","Interior","Inactive",832333.7803,760095.815
"404Y4","404Y4","WCA2","Interior","Inactive",833899.0828,753668.5638
"404Z.5","404Z.5","WCA2","Interior","Inactive",809082.4892,728018.1715
"404Z1","404Z1","WCA2","Interior","Inactive",810325.4659,728458.8652
"404Z2","404Z2","WCA2","Interior","Inactive",813633.2252,728507.3991
"404Z4","404Z4","WCA2","Interior","Inactive",819756.9019,728748.7328
"E0","E0","WCA2","","Inactive",867709.7143,741138.5332
"E1","E1","WCA2","Interior","Inactive",867942.0582,733978.8054
"E2","E2","WCA2","Interior","Inactive",868156.2245,730453.9643
"E3","E3","WCA2","Interior","Inactive",867089.048,727722.4101
"E333","E333","WCA2","Interior","Inactive",866190.5546,723973.9406
"E367","E367","WCA2","Interior","Inactive",866826.4798,721250.8909
"A-7","A7","Refuge","Interior","Inactive",862325.252,853284.443
"ACME1DS","ACME1DS","Refuge","Inflow","Active",888777.107,827271.87
"A-E1","AE1","WCA3","Interior","Inactive",757778.899,685096.955
"A-E10","AE10","WCA3","Interior","Inactive",789640.249,689425.333
"A-E2","AE2","WCA3","Interior","Inactive",758325.078,685199.222
"A-E3","A-E3","WCA3","Interior","Inactive",758962.08,685402.677
"A-E4","AE4","WCA3","Interior","Inactive",759781.46,685505.624
"A-E5","AE5","WCA3","Interior","Inactive",762056.688,686116.987
"A-E6","AE6","WCA3","Interior","Inactive",762784.727,686320.726
"A-E7","AE7","WCA3","Interior","Inactive",766152.144,687136.981
"A-E8","AE8","WCA3","Interior","Inactive",773160.343,688569.127
